,Pleasure,Joviality,Attentiveness,Disgust,"Tension,Fear",Negative,Sadness,Tiredness,Calmness,
1,1440,8499,4320,9301,9252,9007,2456,2399,5811,
2,2550,8501,4604,7359,9413,9320,2095,2039,5870,
3,2260,8080,4689,,9940,9342,2301,2752,1604,
4,2070,7600,8179,,6550,9295,2141,9390,5875,
5,5831,7451,8490,,2981,,2799,9913,1419,
6,7200,2092,4574,,9491,,4598,9395,2000,
7,2154,8300,4232,,9042,,,9190,5410,
8,2151,8200,5950,,6250,,,2400,7325,
9,5910,4626,1050,,9325,,,2695,5725,
10,,8540,5972,,9433,,,4635,,
total,9,10,10,2,10,4,6,10,9,70
