,Pleasure,Joviality,Disgust,Attentiveness,"Tension,Fear",Hostility,Sadness,Tiredness,Calmness,
1,1440,8499,9301,4698,9413,9007,2456,2399,5811,
2,2550,8501,7359,4640,9940,9320,2278,2039,5870,
3,2260,8080,,8192,2730,9342,2301,2752,1604,
4,2070,7600,,8179,6350,9295,9341,9390,5875,
5,5831,7451,,8490,9426,,4598,9913,1419,
6,7200,2092,,4320,9491,,9332,9395,2000,
7,2154,8300,,4574,8230,,,9190,5410,
8,2151,8200,,5950,2688,,,2400,7325,
9,5910,4626,,1050,6263,,,2695,5725,
10,,8540,,5972,6570,,,4635,,
total,9,10,2,10,10,4,6,10,9,70
